Color Name,Color Value,Matching Words
Jade,#00ab6b,Covid-19
Purple,#800080,Quezon City
Rose,#ff007f,Metro Manila
Yellow,#ffff00,Pila
Navy,#000080,Pulis
Red,#ff0000,Pasahero
Blue,#0000ff,Buhay
Orange,#ffa500,DOH
Gray,#808080,Testing
Aquamarine,#7fffd4,ECQ
Light Pink,#ffc0cb,Alcohol
Lilac,#c8a2c8,Ospital
Salmon,#fa8072,Pagkain
Baby Blue,#89cff0,Trabaho
Emerald,#50c878,Bahay
Lime,#b2e846,Supermarket
Gold,#ffd700,Pangulo
Brown,#964b00,Natin
Magenta,#ff00ff,Tulong
Amber,#ffbf00,Gobyerno
Olive,#808000,Coronavirus
Champagne,#f7e7ce,Relief Goods
Orange red,#ff4500,Senado
Teal,#008080,Facebook
Tan,#d2b48c,Problema
Plum,#8e4585,Baranggay
Maroon,#800000,Residente
Silver,#c0c0c0,Oras
Spring green,#00ff7f,Presyo
White,#ffffff,PPE
Orchid,#da70d6,Drug
