"Community Name","Matching Words"
"Covid-19","[covid19,covid]"
"City","[city]"
"Metro Manila","[metro,manila]"
"Pulis","[police,pulis]"
"Pasahero","[pasahero]"
"Buhay","[buhay,kundisyon]"
"DOH","[doh]"
"Testing","[test,testing,center]"
"ECQ","[quarantine,lockdown,curfew,protocol,checkpoint]"
"Ospital","[ospital,health]"
"Pagkain","[pagkain,bigas,gulay]"
"Trabaho","[trabaho,tao,balita]"
"Bahay","[bahay,lumabas]"
"Supermarket","[supermarket]"
"Pangulo","[pangulo]"
"Natin","[natin]"
"Tulong","[tulong]"
"Gobyerno","[pamahalaan,government,gobyerno]"
"Coronavirus","[coronavirus,virus,disease]"
"Relief Goods","[relief,goods,ayuda]"
"Senado","[state,senado,senate]"
"Facebook","[facebook]"
"Problema","[problema]"
"Barangay","[barangay]"
"Residente","[residente]"
"Oras","[time,oras,noong,taon,linggo]"
"Presyo","[presyo,bilihin]"
"PPE","[personal,protective,equipment]"
"Drug","[drug]"
"ABS-CBN","[abscbn, franchise]"
