"Color Name","Color Value","City"
"Green","#00af87","Caloocan City"
"Purple","#800080","City Of Las Piñas"
"Orange","#fa9200","City Of Makati"
"Yellow","#ffff00","City Of Malabon"
"Navy","#000080","City Of Mandaluyong"
"Red","#ff0000","City Of Marikina"
"Blue","#0000ff","City Of Muntinlupa"
"Orange","#ffa500","City Of Navotas"
"Gray","#808080","City Of Parañaque"
"Aqua","#7fffd4","City Of Pasig"
"Light Pink","#ffc0cb","City Of San Juan"
"Lilac","#c8a2c8","City Of Valenzuela"
"Orchid","#de70ff","Manila"
"Baby Blue","#89cff0","Pasay City"
"Emerald","#50c878","Pateros"
"Yellow","#faff0a","Quezon City"
"Sky Blue","#2e82ff","Taguig City"
"Aquamarine","#6bffe9","Cebu City"
"Dark Pink","#ff5d85","Davao City"
